pcketID,srcIP,dstIP,srcPort,dstPort,ethSrc,ethDst,proto,startTime,endTime,hash1,hash2,totalAppPktCount,totalAppFrameLen,minAppPktLen,maxAppPktLen,Label
47629,192.168.1.196,192.168.1.1,6399,53,d0:52:a8:00:67:5e,14:cc:20:51:33:ea,17,9/22/2016 21:00,9/22/2016 21:00,-1697431632,2057057732,2,124,30,94,Smart Things
47633,192.168.1.196,81.3.27.46,6398,123,d0:52:a8:00:67:5e,14:cc:20:51:33:ea,17,9/22/2016 21:00,9/22/2016 21:00,-2077511579,1464817777,2,96,48,48,Smart Things
51992,192.168.1.196,192.168.1.1,6401,53,d0:52:a8:00:67:5e,14:cc:20:51:33:ea,17,9/22/2016 21:10,9/22/2016 21:10,2012726184,1409546068,2,514,30,484,Smart Things
51996,192.168.1.196,217.77.132.1,6400,123,d0:52:a8:00:67:5e,14:cc:20:51:33:ea,17,9/22/2016 21:10,9/22/2016 21:10,-2010587153,2044480827,2,96,48,48,Smart Things
55792,192.168.1.196,192.168.1.1,6403,53,d0:52:a8:00:67:5e,14:cc:20:51:33:ea,17,9/22/2016 21:20,9/22/2016 21:20,-118782754,-1565736663,2,530,30,500,Smart Things
55796,192.168.1.196,110.21.101.199,6402,123,d0:52:a8:00:67:5e,14:cc:20:51:33:ea,17,9/22/2016 21:20,9/22/2016 21:20,1057793822,920584041,2,96,48,48,Smart Things
59750,192.168.1.196,192.168.1.1,6405,53,d0:52:a8:00:67:5e,14:cc:20:51:33:ea,17,9/22/2016 21:30,9/22/2016 21:30,-472429804,-765438455,2,268,30,238,Smart Things
59754,192.168.1.196,130.102.2.123,6404,123,d0:52:a8:00:67:5e,14:cc:20:51:33:ea,17,9/22/2016 21:30,9/22/2016 21:30,533789649,1306487506,2,96,48,48,Smart Things
63962,192.168.1.196,192.168.1.1,6407,53,d0:52:a8:00:67:5e,14:cc:20:51:33:ea,17,9/22/2016 21:40,9/22/2016 21:40,1691028554,554524865,2,530,30,500,Smart Things
63966,192.168.1.196,130.102.2.123,6406,123,d0:52:a8:00:67:5e,14:cc:20:51:33:ea,17,9/22/2016 21:40,9/22/2016 21:40,371649179,-264759618,2,96,48,48,Smart Things
67807,192.168.1.196,192.168.1.1,6409,53,d0:52:a8:00:67:5e,14:cc:20:51:33:ea,17,9/22/2016 21:50,9/22/2016 21:50,624920784,-1548559044,2,530,30,500,Smart Things
67811,192.168.1.196,203.122.222.45,6408,123,d0:52:a8:00:67:5e,14:cc:20:51:33:ea,17,9/22/2016 21:50,9/22/2016 21:50,1693310101,1792154051,2,96,48,48,Smart Things
71945,192.168.1.196,192.168.1.1,6411,53,d0:52:a8:00:67:5e,14:cc:20:51:33:ea,17,9/22/2016 22:00,9/22/2016 22:00,2012729321,1131174808,2,530,30,500,Smart Things
71949,192.168.1.196,27.124.125.252,6410,123,d0:52:a8:00:67:5e,14:cc:20:51:33:ea,17,9/22/2016 22:00,9/22/2016 22:00,-1649295802,1111244821,2,96,48,48,Smart Things
75664,192.168.1.196,192.168.1.1,6413,53,d0:52:a8:00:67:5e,14:cc:20:51:33:ea,17,9/22/2016 22:10,9/22/2016 22:10,-118779617,895296034,2,530,30,500,Smart Things
75668,192.168.1.196,27.124.125.251,6412,123,d0:52:a8:00:67:5e,14:cc:20:51:33:ea,17,9/22/2016 22:10,9/22/2016 22:10,-1655153465,182247254,2,96,48,48,Smart Things
79474,192.168.1.196,192.168.1.1,6415,53,d0:52:a8:00:67:5e,14:cc:20:51:33:ea,17,9/22/2016 22:20,9/22/2016 22:20,-472426667,-331555136,2,530,30,500,Smart Things
79478,192.168.1.196,192.189.54.33,6414,123,d0:52:a8:00:67:5e,14:cc:20:51:33:ea,17,9/22/2016 22:20,9/22/2016 22:20,370625086,-534916945,2,96,48,48,Smart Things
83253,192.168.1.196,192.168.1.1,6417,53,d0:52:a8:00:67:5e,14:cc:20:51:33:ea,17,9/22/2016 22:30,9/22/2016 22:30,1691031691,-922858811,2,530,30,500,Smart Things
83257,192.168.1.196,202.127.210.37,6416,123,d0:52:a8:00:67:5e,14:cc:20:51:33:ea,17,9/22/2016 22:30,9/22/2016 22:30,-47503734,-548704268,2,96,48,48,Smart Things
87138,192.168.1.196,192.168.1.1,6419,53,d0:52:a8:00:67:5e,14:cc:20:51:33:ea,17,9/22/2016 22:40,9/22/2016 22:40,624923921,576156317,2,530,30,500,Smart Things
87142,192.168.1.196,203.206.205.83,6418,123,d0:52:a8:00:67:5e,14:cc:20:51:33:ea,17,9/22/2016 22:40,9/22/2016 22:40,609222436,-408064864,2,96,48,48,Smart Things
91100,192.168.1.196,192.168.1.1,6421,53,d0:52:a8:00:67:5e,14:cc:20:51:33:ea,17,9/22/2016 22:50,9/22/2016 22:50,2012724006,-1195356232,2,530,30,500,Smart Things
91104,192.168.1.196,203.122.222.45,6420,123,d0:52:a8:00:67:5e,14:cc:20:51:33:ea,17,9/22/2016 22:50,9/22/2016 22:50,1312301719,-2129757231,2,96,48,48,Smart Things
95184,192.168.1.196,192.168.1.1,6423,53,d0:52:a8:00:67:5e,14:cc:20:51:33:ea,17,9/22/2016 23:00,9/22/2016 23:00,-118784932,939920531,2,530,30,500,Smart Things
95189,192.168.1.196,192.189.54.33,6422,123,d0:52:a8:00:67:5e,14:cc:20:51:33:ea,17,9/22/2016 23:00,9/22/2016 23:00,-1245060395,465601580,2,96,48,48,Smart Things
99099,192.168.1.196,192.168.1.1,6425,53,d0:52:a8:00:67:5e,14:cc:20:51:33:ea,17,9/22/2016 23:10,9/22/2016 23:10,-472431982,1100730520,2,366,30,336,Smart Things
99103,192.168.1.196,192.189.54.33,6424,123,d0:52:a8:00:67:5e,14:cc:20:51:33:ea,17,9/22/2016 23:10,9/22/2016 23:10,370661023,1420543277,2,96,48,48,Smart Things
101047,192.168.1.196,255.255.255.255,68,67,d0:52:a8:00:67:5e,ff:ff:ff:ff:ff:ff,17,9/22/2016 23:15,9/22/2016 23:15,-1705945953,-882918787,1,300,300,300,Smart Things
101048,192.168.1.1,192.168.1.196,67,68,14:cc:20:51:33:ea,d0:52:a8:00:67:5e,17,9/22/2016 23:15,9/22/2016 23:15,1352613862,-273207250,1,305,305,305,Smart Things
102834,192.168.1.196,192.168.1.1,6427,53,d0:52:a8:00:67:5e,14:cc:20:51:33:ea,17,9/22/2016 23:20,9/22/2016 23:20,1691026376,882714510,2,530,30,500,Smart Things
102838,192.168.1.196,94.23.210.194,6426,123,d0:52:a8:00:67:5e,14:cc:20:51:33:ea,17,9/22/2016 23:20,9/22/2016 23:20,1995845377,-133492573,2,96,48,48,Smart Things
106597,192.168.1.196,192.168.1.1,6429,53,d0:52:a8:00:67:5e,14:cc:20:51:33:ea,17,9/22/2016 23:30,9/22/2016 23:30,624918606,-649825936,2,514,30,484,Smart Things
106601,192.168.1.196,49.176.193.230,6428,123,d0:52:a8:00:67:5e,14:cc:20:51:33:ea,17,9/22/2016 23:30,9/22/2016 23:30,-472381409,1250479489,1,48,48,48,Smart Things
106634,192.168.1.196,192.168.1.1,6431,53,d0:52:a8:00:67:5e,14:cc:20:51:33:ea,17,9/22/2016 23:30,9/22/2016 23:30,2012727143,170138107,2,124,30,94,Smart Things
106638,192.168.1.196,203.122.222.45,6430,123,d0:52:a8:00:67:5e,14:cc:20:51:33:ea,17,9/22/2016 23:30,9/22/2016 23:30,1824161116,-1674785016,2,96,48,48,Smart Things
111034,192.168.1.196,192.168.1.1,6433,53,d0:52:a8:00:67:5e,14:cc:20:51:33:ea,17,9/22/2016 23:40,9/22/2016 23:40,-118781795,-1752639892,2,530,30,500,Smart Things
111038,192.168.1.196,203.122.222.45,6432,123,d0:52:a8:00:67:5e,14:cc:20:51:33:ea,17,9/22/2016 23:40,9/22/2016 23:40,1824159070,-1728502257,2,96,48,48,Smart Things
115091,192.168.1.196,192.168.1.1,6435,53,d0:52:a8:00:67:5e,14:cc:20:51:33:ea,17,9/22/2016 23:50,9/22/2016 23:50,-472428845,1118788116,2,518,30,488,Smart Things
115095,192.168.1.196,130.102.128.23,6434,123,d0:52:a8:00:67:5e,14:cc:20:51:33:ea,17,9/22/2016 23:50,9/22/2016 23:50,-1186955494,-511640685,2,96,48,48,Smart Things
122741,192.168.1.196,192.168.1.1,6437,53,d0:52:a8:00:67:5e,14:cc:20:51:33:ea,17,9/23/2016 0:00,9/23/2016 0:00,1691029513,1155252408,2,514,30,484,Smart Things
122745,192.168.1.196,203.23.237.200,6436,123,d0:52:a8:00:67:5e,14:cc:20:51:33:ea,17,9/23/2016 0:00,9/23/2016 0:00,1577605603,-358687888,2,96,48,48,Smart Things
126951,192.168.1.196,192.168.1.1,6439,53,d0:52:a8:00:67:5e,14:cc:20:51:33:ea,17,9/23/2016 0:10,9/23/2016 0:10,624921743,729223164,2,518,30,488,Smart Things
126955,192.168.1.196,203.122.222.45,6438,123,d0:52:a8:00:67:5e,14:cc:20:51:33:ea,17,9/23/2016 0:10,9/23/2016 0:10,1824169828,-1382676089,2,96,48,48,Smart Things
130880,192.168.1.196,192.168.1.1,6441,53,d0:52:a8:00:67:5e,14:cc:20:51:33:ea,17,9/23/2016 0:20,9/23/2016 0:20,2012722092,-1151808558,2,514,30,484,Smart Things
130884,192.168.1.196,192.189.54.17,6440,123,d0:52:a8:00:67:5e,14:cc:20:51:33:ea,17,9/23/2016 0:20,9/23/2016 0:20,-2111000549,1850956065,2,96,48,48,Smart Things
134821,192.168.1.196,192.168.1.1,6443,53,d0:52:a8:00:67:5e,14:cc:20:51:33:ea,17,9/23/2016 0:30,9/23/2016 0:30,-118786846,-1195061284,2,530,30,500,Smart Things
134825,192.168.1.196,49.176.208.19,6442,123,d0:52:a8:00:67:5e,14:cc:20:51:33:ea,17,9/23/2016 0:30,9/23/2016 0:30,-538670217,939036765,2,96,48,48,Smart Things
139002,192.168.1.196,192.168.1.1,6445,53,d0:52:a8:00:67:5e,14:cc:20:51:33:ea,17,9/23/2016 0:40,9/23/2016 0:40,-472433896,1274659814,2,530,30,500,Smart Things
139006,192.168.1.196,202.127.210.36,6444,123,d0:52:a8:00:67:5e,14:cc:20:51:33:ea,17,9/23/2016 0:40,9/23/2016 0:40,-618891678,-931414540,2,96,48,48,Smart Things
143304,192.168.1.196,192.168.1.1,6447,53,d0:52:a8:00:67:5e,14:cc:20:51:33:ea,17,9/23/2016 0:50,9/23/2016 0:50,1691024462,1198713141,2,530,30,500,Smart Things
143308,192.168.1.196,54.252.129.186,6446,123,d0:52:a8:00:67:5e,14:cc:20:51:33:ea,17,9/23/2016 0:50,9/23/2016 0:50,122808233,1411920972,2,96,48,48,Smart Things
147538,192.168.1.196,192.168.1.1,6449,53,d0:52:a8:00:67:5e,14:cc:20:51:33:ea,17,9/23/2016 1:00,9/23/2016 1:00,624916692,1527602317,2,514,30,484,Smart Things
147542,192.168.1.196,138.236.128.112,6448,123,d0:52:a8:00:67:5e,14:cc:20:51:33:ea,17,9/23/2016 1:00,9/23/2016 1:00,1531752556,31086311,2,96,48,48,Smart Things
151669,192.168.1.196,192.168.1.1,6451,53,d0:52:a8:00:67:5e,14:cc:20:51:33:ea,17,9/23/2016 1:10,9/23/2016 1:10,2012725229,1539563012,2,124,30,94,Smart Things
151673,192.168.1.196,192.189.54.33,6450,123,d0:52:a8:00:67:5e,14:cc:20:51:33:ea,17,9/23/2016 1:10,9/23/2016 1:10,-1082812122,1321938459,2,96,48,48,Smart Things
155595,192.168.1.196,192.168.1.1,6453,53,d0:52:a8:00:67:5e,14:cc:20:51:33:ea,17,9/23/2016 1:20,9/23/2016 1:20,-118783709,-1435930948,2,530,30,500,Smart Things
155599,192.168.1.196,150.101.176.226,6452,123,d0:52:a8:00:67:5e,14:cc:20:51:33:ea,17,9/23/2016 1:20,9/23/2016 1:20,-496460317,680712814,1,48,48,48,Smart Things
155635,192.168.1.196,192.168.1.1,6455,53,d0:52:a8:00:67:5e,14:cc:20:51:33:ea,17,9/23/2016 1:20,9/23/2016 1:20,-472430759,-635527404,2,124,30,94,Smart Things
155639,192.168.1.196,120.146.26.214,6454,123,d0:52:a8:00:67:5e,14:cc:20:51:33:ea,17,9/23/2016 1:20,9/23/2016 1:20,-1816709268,-268617301,2,96,48,48,Smart Things
159366,192.168.1.196,192.168.1.1,6457,53,d0:52:a8:00:67:5e,14:cc:20:51:33:ea,17,9/23/2016 1:30,9/23/2016 1:30,1691027599,684224681,2,530,30,500,Smart Things
159370,192.168.1.196,130.102.128.23,6456,123,d0:52:a8:00:67:5e,14:cc:20:51:33:ea,17,9/23/2016 1:30,9/23/2016 1:30,-488191730,237310046,2,96,48,48,Smart Things
163568,192.168.1.196,192.168.1.1,6459,53,d0:52:a8:00:67:5e,14:cc:20:51:33:ea,17,9/23/2016 1:40,9/23/2016 1:40,624919829,-337205685,2,534,30,504,Smart Things
163572,192.168.1.196,163.172.28.46,6458,123,d0:52:a8:00:67:5e,14:cc:20:51:33:ea,17,9/23/2016 1:40,9/23/2016 1:40,1940987903,1160832593,2,96,48,48,Smart Things
167853,192.168.1.196,192.168.1.1,6461,53,d0:52:a8:00:67:5e,14:cc:20:51:33:ea,17,9/23/2016 1:50,9/23/2016 1:50,2012719914,-228630555,2,530,30,500,Smart Things
167857,192.168.1.196,54.252.129.186,6460,123,d0:52:a8:00:67:5e,14:cc:20:51:33:ea,17,9/23/2016 1:50,9/23/2016 1:50,503814305,848721260,2,96,48,48,Smart Things
171992,192.168.1.196,192.168.1.1,6463,53,d0:52:a8:00:67:5e,14:cc:20:51:33:ea,17,9/23/2016 2:00,9/23/2016 2:00,-118789024,1090144598,2,534,30,504,Smart Things
171996,192.168.1.196,129.250.35.251,6462,123,d0:52:a8:00:67:5e,14:cc:20:51:33:ea,17,9/23/2016 2:00,9/23/2016 2:00,1726979583,-201235045,2,96,48,48,Smart Things
176207,192.168.1.196,192.168.1.1,6465,53,d0:52:a8:00:67:5e,14:cc:20:51:33:ea,17,9/23/2016 2:10,9/23/2016 2:10,-472436074,1890514490,2,530,30,500,Smart Things
176211,192.168.1.196,203.19.252.1,6464,123,d0:52:a8:00:67:5e,14:cc:20:51:33:ea,17,9/23/2016 2:10,9/23/2016 2:10,1233737933,-1172224641,2,96,48,48,Smart Things
180132,192.168.1.196,192.168.1.1,6467,53,d0:52:a8:00:67:5e,14:cc:20:51:33:ea,17,9/23/2016 2:20,9/23/2016 2:20,1691022284,-1084839954,2,534,30,504,Smart Things
180136,192.168.1.196,129.250.35.251,6466,123,d0:52:a8:00:67:5e,14:cc:20:51:33:ea,17,9/23/2016 2:20,9/23/2016 2:20,1726975227,1123617435,2,96,48,48,Smart Things
184065,192.168.1.196,192.168.1.1,6469,53,d0:52:a8:00:67:5e,14:cc:20:51:33:ea,17,9/23/2016 2:30,9/23/2016 2:30,624914514,-2106122581,2,542,30,512,Smart Things
184069,192.168.1.196,54.252.161.68,6468,123,d0:52:a8:00:67:5e,14:cc:20:51:33:ea,17,9/23/2016 2:30,9/23/2016 2:30,2043472232,574792893,2,96,48,48,Smart Things
188068,192.168.1.196,192.168.1.1,6471,53,d0:52:a8:00:67:5e,14:cc:20:51:33:ea,17,9/23/2016 2:40,9/23/2016 2:40,2012723051,-2091938144,2,542,30,512,Smart Things
188074,192.168.1.196,27.124.104.150,6470,123,d0:52:a8:00:67:5e,14:cc:20:51:33:ea,17,9/23/2016 2:40,9/23/2016 2:40,986720978,-1452935177,2,96,48,48,Smart Things
192162,192.168.1.196,192.168.1.1,6473,53,d0:52:a8:00:67:5e,14:cc:20:51:33:ea,17,9/23/2016 2:50,9/23/2016 2:50,-118785887,-772257770,2,542,30,512,Smart Things
192166,192.168.1.196,52.63.147.200,6472,123,d0:52:a8:00:67:5e,14:cc:20:51:33:ea,17,9/23/2016 2:50,9/23/2016 2:50,-2047454191,2067150832,2,96,48,48,Smart Things
196336,192.168.1.196,192.168.1.1,6475,53,d0:52:a8:00:67:5e,14:cc:20:51:33:ea,17,9/23/2016 3:00,9/23/2016 3:00,-472432937,29371992,2,542,30,512,Smart Things
196340,192.168.1.196,203.19.252.4,6474,123,d0:52:a8:00:67:5e,14:cc:20:51:33:ea,17,9/23/2016 3:00,9/23/2016 3:00,1393198341,-342297666,2,96,48,48,Smart Things
200398,192.168.1.196,192.168.1.1,6477,53,d0:52:a8:00:67:5e,14:cc:20:51:33:ea,17,9/23/2016 3:10,9/23/2016 3:10,1691025421,-1137323205,2,542,30,512,Smart Things
200402,192.168.1.196,203.19.252.4,6476,123,d0:52:a8:00:67:5e,14:cc:20:51:33:ea,17,9/23/2016 3:10,9/23/2016 3:10,1393196295,-411083155,2,96,48,48,Smart Things
204365,192.168.1.196,192.168.1.1,6479,53,d0:52:a8:00:67:5e,14:cc:20:51:33:ea,17,9/23/2016 3:20,9/23/2016 3:20,624917651,682641287,2,542,30,512,Smart Things
204369,192.168.1.196,203.123.77.111,6478,123,d0:52:a8:00:67:5e,14:cc:20:51:33:ea,17,9/23/2016 3:20,9/23/2016 3:20,1827620237,1390691205,2,96,48,48,Smart Things
208354,192.168.1.196,192.168.1.1,6481,53,d0:52:a8:00:67:5e,14:cc:20:51:33:ea,17,9/23/2016 3:30,9/23/2016 3:30,2012717472,-955184258,2,542,30,512,Smart Things
208358,192.168.1.196,202.127.210.37,6480,123,d0:52:a8:00:67:5e,14:cc:20:51:33:ea,17,9/23/2016 3:30,9/23/2016 3:30,-982699991,-1356517541,2,96,48,48,Smart Things
212261,192.168.1.196,192.168.1.1,6483,53,d0:52:a8:00:67:5e,14:cc:20:51:33:ea,17,9/23/2016 3:40,9/23/2016 3:40,-118791466,1818224675,2,530,30,500,Smart Things
212265,192.168.1.196,203.23.237.200,6482,123,d0:52:a8:00:67:5e,14:cc:20:51:33:ea,17,9/23/2016 3:40,9/23/2016 3:40,-762311164,1382344701,2,96,48,48,Smart Things
217261,192.168.1.196,192.168.1.1,6485,53,d0:52:a8:00:67:5e,14:cc:20:51:33:ea,17,9/23/2016 3:50,9/23/2016 3:50,-472438516,1164941741,2,518,30,488,Smart Things
217265,192.168.1.196,129.250.35.251,6484,123,d0:52:a8:00:67:5e,14:cc:20:51:33:ea,17,9/23/2016 3:50,9/23/2016 3:50,-418850593,-510418022,2,96,48,48,Smart Things
223138,192.168.1.196,192.168.1.1,6487,53,d0:52:a8:00:67:5e,14:cc:20:51:33:ea,17,9/23/2016 4:00,9/23/2016 4:00,1691019842,-353212874,2,518,30,488,Smart Things
223142,192.168.1.196,129.250.35.250,6486,123,d0:52:a8:00:67:5e,14:cc:20:51:33:ea,17,9/23/2016 4:00,9/23/2016 4:00,-415360548,-548210436,2,96,48,48,Smart Things
230731,192.168.1.196,192.168.1.1,6489,53,d0:52:a8:00:67:5e,14:cc:20:51:33:ea,17,9/23/2016 4:10,9/23/2016 4:10,624912072,1466890785,2,518,30,488,Smart Things
230739,192.168.1.196,54.252.165.245,6488,123,d0:52:a8:00:67:5e,14:cc:20:51:33:ea,17,9/23/2016 4:10,9/23/2016 4:10,-442715469,-945519306,2,96,48,48,Smart Things
236394,192.168.1.196,192.168.1.1,6491,53,d0:52:a8:00:67:5e,14:cc:20:51:33:ea,17,9/23/2016 4:20,9/23/2016 4:20,2012720609,1481084058,2,514,30,484,Smart Things
236398,192.168.1.196,149.56.35.206,6490,123,d0:52:a8:00:67:5e,14:cc:20:51:33:ea,17,9/23/2016 4:20,9/23/2016 4:20,442442746,-219938999,2,96,48,48,Smart Things
241220,192.168.1.196,192.168.1.1,6493,53,d0:52:a8:00:67:5e,14:cc:20:51:33:ea,17,9/23/2016 4:30,9/23/2016 4:30,-118788329,-40621722,2,530,30,500,Smart Things
241224,192.168.1.196,54.252.161.68,6492,123,d0:52:a8:00:67:5e,14:cc:20:51:33:ea,17,9/23/2016 4:30,9/23/2016 4:30,817627609,-1179629398,2,96,48,48,Smart Things
245630,192.168.1.196,192.168.1.1,6495,53,d0:52:a8:00:67:5e,14:cc:20:51:33:ea,17,9/23/2016 4:40,9/23/2016 4:40,-472435379,-693909105,2,530,30,500,Smart Things
245634,192.168.1.196,49.176.193.230,6494,123,d0:52:a8:00:67:5e,14:cc:20:51:33:ea,17,9/23/2016 4:40,9/23/2016 4:40,-1375639004,1274549562,1,48,48,48,Smart Things
245684,192.168.1.196,192.168.1.1,6497,53,d0:52:a8:00:67:5e,14:cc:20:51:33:ea,17,9/23/2016 4:40,9/23/2016 4:40,1691022979,2079318223,2,124,30,94,Smart Things
245688,192.168.1.196,202.60.94.11,6496,123,d0:52:a8:00:67:5e,14:cc:20:51:33:ea,17,9/23/2016 4:40,9/23/2016 4:40,107359986,-917849394,2,96,48,48,Smart Things
251226,192.168.1.196,192.168.1.1,6499,53,d0:52:a8:00:67:5e,14:cc:20:51:33:ea,17,9/23/2016 4:50,9/23/2016 4:50,624915209,-395477799,2,514,30,484,Smart Things
251230,192.168.1.196,129.250.35.250,6498,123,d0:52:a8:00:67:5e,14:cc:20:51:33:ea,17,9/23/2016 4:50,9/23/2016 4:50,96492447,-1131356637,2,96,48,48,Smart Things
255982,192.168.1.196,192.168.1.1,6501,53,d0:52:a8:00:67:5e,14:cc:20:51:33:ea,17,9/23/2016 5:00,9/23/2016 5:00,-1770381715,1559836536,2,514,30,484,Smart Things
255986,192.168.1.196,130.102.128.23,6500,123,d0:52:a8:00:67:5e,14:cc:20:51:33:ea,17,9/23/2016 5:00,9/23/2016 5:00,-1730874362,1787205503,2,96,48,48,Smart Things
262041,192.168.1.196,192.168.1.1,6503,53,d0:52:a8:00:67:5e,14:cc:20:51:33:ea,17,9/23/2016 5:10,9/23/2016 5:10,393076643,37991170,2,530,30,500,Smart Things
262045,192.168.1.196,52.63.147.200,6502,123,d0:52:a8:00:67:5e,14:cc:20:51:33:ea,17,9/23/2016 5:10,9/23/2016 5:10,910507507,-1256898552,2,96,48,48,Smart Things
267429,192.168.1.196,192.168.1.1,6505,53,d0:52:a8:00:67:5e,14:cc:20:51:33:ea,17,9/23/2016 5:20,9/23/2016 5:20,39429593,-615148183,2,542,30,512,Smart Things
267433,192.168.1.196,192.189.54.33,6504,123,d0:52:a8:00:67:5e,14:cc:20:51:33:ea,17,9/23/2016 5:20,9/23/2016 5:20,-426854568,1599588232,2,96,48,48,Smart Things
